,cd,nm
1248,357250.KQ,미래에셋맵스리츠보통주
1249,094800.KQ,미래에셋맵스아시아퍼시픽부동산공모1호
1250,085620.KQ,미래에셋생명보험보통주
1251,002840.KQ,미원상사보통주
1252,268280.KQ,미원스페셜티케미칼보통주
1253,107590.KQ,미원홀딩스 보통주
1254,134380.KQ,미원화학보통주
1255,003650.KQ,미창석유공업보통주
1256,155900.KQ,바다로19호선박투자회사
1257,003610.KQ,방림보통주
1258,001340.KQ,백광산업보통주
1259,035150.KQ,백산보통주
1260,002410.KQ,범양건영보통주
1261,007210.KQ,벽산보통주
1262,002760.KQ,보락보통주
1263,003850.KQ,보령제약보통주
1264,000890.KQ,보해양조보통주
1265,003000.KQ,부광약품보통주
1266,001275.KQ,부국증권1우선주
1267,001270.KQ,부국증권보통주
1268,026940.KQ,부국철강 보통주
1269,015350.KQ,부산도시가스보통주
1270,011390.KQ,부산산업보통주
1271,005030.KQ,부산주공보통주
1272,002070.KQ,비비안보통주
1273,100220.KQ,비상교육 보통주
1274,030790.KQ,비케이탑스보통주
1275,352820.KQ,빅히트엔터테인먼트보통주
1276,005180.KQ,빙그레보통주
1277,003960.KQ,사조대림보통주
1278,008040.KQ,사조동아원보통주
1279,007160.KQ,사조산업보통주
1280,014710.KQ,사조씨푸드보통주
1281,006090.KQ,사조오양보통주
1282,001470.KQ,삼부토건보통주
1283,006405.KQ,삼성SDI1우선주
1284,006400.KQ,삼성SDI보통주
1285,006660.KQ,삼성공조보통주
1286,02826K.KQ,삼성물산1우선주(신형)
1287,028260.KQ,삼성물산보통주
1288,207940.KQ,삼성바이오로직스보통주
1289,032830.KQ,삼성생명보험보통주
1290,018260.KQ,삼성에스디에스보통주
1291,028050.KQ,삼성엔지니어링보통주
1292,009155.KQ,삼성전기1우선주
1293,009150.KQ,삼성전기보통주
1294,005935.KQ,삼성전자1우선주
1295,005930.KQ,삼성전자보통주
1296,001360.KQ,삼성제약
1297,010145.KQ,삼성중공업1우선주
1298,010140.KQ,삼성중공업보통주
1299,016360.KQ,삼성증권보통주
1300,068290.KQ,삼성출판사보통주
1301,029780.KQ,삼성카드 보통주
1302,000815.KQ,삼성화재해상보험1우선주
1303,000810.KQ,삼성화재해상보험보통주
1304,006110.KQ,삼아알미늄보통주
1305,145995.KQ,삼양사1우선주
1306,145990.KQ,삼양사보통주
1307,003230.KQ,삼양식품보통주
1308,002170.KQ,삼양통상보통주
1309,272550.KQ,삼양패키징보통주
1310,000075.KQ,삼양홀딩스1우선주
1311,000070.KQ,삼양홀딩스보통주
1312,002810.KQ,삼영무역보통주
1313,005680.KQ,삼영전자공업보통주
1314,003720.KQ,삼영화학공업보통주
1315,023000.KQ,삼원강재 보통주
1316,004380.KQ,삼익THK보통주
1317,002450.KQ,삼익악기보통주
1318,004440.KQ,삼일씨엔에스보통주
1319,000520.KQ,삼일제약보통주
1320,009770.KQ,삼정펄프 보통주
1321,005500.KQ,삼진제약보통주
1322,004690.KQ,삼천리보통주
1323,010960.KQ,삼호개발 보통주
1324,004450.KQ,삼화왕관보통주
1325,009470.KQ,삼화전기보통주
1326,011230.KQ,삼화전자공업보통주
1327,001820.KQ,삼화콘덴서공업보통주
1328,000390.KQ,삼화페인트공업보통주
1329,001290.KQ,상상인증권보통주
1330,041650.KQ,상신브레이크보통주
1331,075180.KQ,새론오토모티브
1332,007540.KQ,샘표보통주
1333,248170.KQ,샘표식품보통주
1334,007860.KQ,서연보통주
1335,200880.KQ,서연이화보통주
1336,017390.KQ,서울도시가스보통주
1337,004415.KQ,서울식품공업1우선주
1338,004410.KQ,서울식품공업보통주
1339,021050.KQ,서원보통주
1340,008490.KQ,서흥보통주
1341,007610.KQ,선도전기보통주
1342,136490.KQ,선진보통주
1343,002820.KQ,선창산업보통주
1344,014915.KQ,성문전자1우선주
1345,014910.KQ,성문전자보통주
1346,003080.KQ,성보화학보통주
1347,004985.KQ,성신양회1우선주
1348,004980.KQ,성신양회보통주
1349,011300.KQ,성안보통주
1350,000180.KQ,성창기업지주보통주
1351,002420.KQ,세기상사보통주
1352,004365.KQ,세방1우선주
1353,004360.KQ,세방보통주
1354,004490.KQ,세방전지보통주
1355,001430.KQ,세아베스틸보통주
1356,306200.KQ,세아제강보통주
1357,003030.KQ,세아제강지주보통주
1358,019440.KQ,세아특수강보통주
1359,058650.KQ,세아홀딩스보통주
1360,013000.KQ,세우글로벌보통주
1361,091090.KQ,세원셀론텍 보통주
1362,021820.KQ,세원정공보통주
1363,067830.KQ,세이브존I&C보통주
1364,033530.KQ,세종공업보통주
1365,075580.KQ,세진중공업보통주
1366,027970.KQ,세하보통주
1367,145210.KQ,세화아이엠씨보통주
1368,308170.KQ,센트랄모텍보통주
1369,012600.KQ,센트럴인사이트보통주
1370,068270.KQ,셀트리온보통주
1371,33637K.KQ,솔루스첨단소재1우선주
1372,33637L.KQ,솔루스첨단소재2우선주(신형)
1373,336370.KQ,솔루스첨단소재보통주
1374,248070.KQ,솔루엠보통주
1375,004430.KQ,송원산업보통주
1376,017550.KQ,수산중공업보통주
1377,134790.KQ,시디즈보통주
1378,016590.KQ,신대양제지보통주
1379,029530.KQ,신도리코보통주
1380,004970.KQ,신라교역보통주
1381,011930.KQ,신성이엔지보통주
1382,005390.KQ,신성통상보통주
1383,034300.KQ,신세계건설
1384,004170.KQ,신세계보통주
1385,035510.KQ,신세계아이앤씨 보통주
1386,031430.KQ,신세계인터내셔날보통주
1387,031440.KQ,신세계푸드보통주
1388,006880.KQ,신송홀딩스보통주
1389,005800.KQ,신영와코루보통주
1390,001725.KQ,신영증권1우선주
1391,001720.KQ,신영증권보통주
1392,009275.KQ,신원1우선주
1393,009270.KQ,신원보통주
1394,002700.KQ,신일전자보통주
1395,019175.KQ,신풍제약1우선주
1396,019170.KQ,신풍제약보통주
1397,002870.KQ,신풍제지보통주
1398,055550.KQ,신한금융지주회사보통주
1399,293940.KQ,신한알파리츠보통주
1400,001770.KQ,신화실업보통주
1401,004080.KQ,신흥보통주
1402,102280.KQ,쌍방울
1403,003410.KQ,쌍용양회공업보통주
1404,003620.KQ,쌍용자동차보통주
1405,004770.KQ,써니전자보통주
1406,015540.KQ,쎌마테라퓨틱스보통주
1407,004920.KQ,씨아이테크보통주
1408,112610.KQ,씨에스윈드보통주
1409,000120.KQ,씨제이대한통운보통주
1410,079160.KQ,씨제이씨지브이 보통주
1411,097955.KQ,씨제이제일제당 주식회사 1우선주
1412,097950.KQ,씨제이제일제당 주식회사 보통주
1413,008700.KQ,아남전자보통주
1414,002795.KQ,아모레G1우선주
1415,00279K.KQ,아모레G3우선주(전환)
1416,002790.KQ,아모레G보통주
1417,090435.KQ,아모레퍼시픽 1우선주
1418,090430.KQ,아모레퍼시픽 보통주
1419,002030.KQ,아세아보통주
1420,183190.KQ,아세아시멘트보통주
1421,002310.KQ,아세아제지보통주
1422,267850.KQ,아시아나IDT보통주
1423,020560.KQ,아시아나항공 보통주
1424,122900.KQ,아이마켓코리아보통주
1425,010780.KQ,아이에스동서보통주
1426,001780.KQ,알루코 보통주
1427,018250.KQ,애경산업보통주
1428,161000.KQ,애경유화보통주
1429,011090.KQ,에넥스보통주
1430,034120.KQ,에스비에스보통주
1431,005850.KQ,에스엘보통주
1432,012750.KQ,에스원보통주
1433,004060.KQ,에스지세계물산보통주
1434,001380.KQ,에스지충방 보통주
1435,006125.KQ,에스케이디스커버리1우선주
1436,006120.KQ,에스케이디스커버리보통주
1437,068400.KQ,에스케이렌터카보통주
1438,326030.KQ,에스케이바이오팜보통주
1439,000660.KQ,에스케이하이닉스보통주
1440,023960.KQ,에쓰씨엔지니어링보통주
1441,298690.KQ,에어부산보통주
1442,078520.KQ,에이블씨엔씨보통주
1443,015260.KQ,에이엔피보통주
1444,140910.KQ,에이자기관리부동산투자회사보통주
1445,039570.KQ,에이치디씨아이콘트롤스보통주
1446,089470.KQ,에이치디씨현대이피보통주
1447,082740.KQ,에이치에스디엔진보통주
1448,011200.KQ,에이치엠엠보통주
1449,003060.KQ,에이프로젠제약보통주
1450,007460.KQ,에이프로젠케이아이씨보통주
1451,244920.KQ,에이플러스에셋보통주
1452,036570.KQ,엔씨소프트보통주
1453,138250.KQ,엔에스쇼핑보통주
1454,005945.KQ,엔에이치투자증권1우선주
1455,005940.KQ,엔에이치투자증권보통주
1456,085310.KQ,엔케이 보통주
1457,009810.KQ,엔케이물산보통주
1458,900140.KQ,엘브이엠씨홀딩스보통주
1459,229640.KQ,엘에스전선아시아보통주
1460,108670.KQ,엘지하우시스
1461,108675.KQ,엘지하우시스 1우선주
1462,037560.KQ,엘지헬로비전보통주
1463,014440.KQ,영보화학보통주
1464,111770.KQ,영원무역보통주
1465,009970.KQ,영원무역홀딩스보통주
1466,003520.KQ,영진약품보통주
1467,000670.KQ,영풍보통주
1468,006740.KQ,영풍제지보통주
1469,012280.KQ,영화금속보통주
1470,012160.KQ,영흥보통주
1471,015360.KQ,예스코홀딩스보통주
1472,007310.KQ,오뚜기보통주
1473,002630.KQ,오리엔트바이오보통주
1474,271560.KQ,오리온보통주
1475,001800.KQ,오리온홀딩스보통주
1476,037270.KQ,와이지플러스보통주
1477,316140.KQ,우리금융지주보통주
1478,033660.KQ,우리금융캐피탈보통주
1479,004720.KQ,우리들제약보통주
1480,118000.KQ,우리들휴브레인보통주
1481,010050.KQ,우리종합금융보통주
1482,006980.KQ,우성사료보통주
1483,017370.KQ,우신시스템보통주
1484,105840.KQ,우진보통주
1485,010400.KQ,우진아이엔에스보통주
1486,049800.KQ,우진플라임 보통주
1487,016880.KQ,웅진보통주
1488,095720.KQ,웅진씽크빅 보통주
1489,005820.KQ,원림보통주
1490,010600.KQ,웰바이오텍보통주
1491,008600.KQ,윌비스보통주
1492,014830.KQ,유니드 보통주
1493,047400.KQ,유니온머티리얼보통주
1494,000910.KQ,유니온보통주
1495,011330.KQ,유니켐보통주
1496,077500.KQ,유니퀘스트 보통주
1497,002920.KQ,유성기업보통주
1498,000700.KQ,유수홀딩스보통주
1499,003475.KQ,유안타증권1우선주
1500,003470.KQ,유안타증권보통주
1501,011690.KQ,유양디앤유보통주
1502,072130.KQ,유엔젤보통주
1503,000225.KQ,유유제약1우선주
1504,000227.KQ,유유제약2우선주(신형)
1505,000220.KQ,유유제약보통주
1506,001200.KQ,유진투자증권보통주
1507,000105.KQ,유한양행1우선주
1508,000100.KQ,유한양행보통주
1509,003465.KQ,유화증권1우선주
1510,003460.KQ,유화증권보통주
1511,008730.KQ,율촌화학보통주
1512,008250.KQ,이건산업보통주
1513,025820.KQ,이구산업보통주
1514,214320.KQ,이노션보통주
1515,088260.KQ,이리츠코크렙기업구조조정부동산투자회사보통주
1516,139480.KQ,이마트보통주
1517,007660.KQ,이수페타시스보통주
1518,005950.KQ,이수화학보통주
1519,015020.KQ,이스타코보통주
1520,093230.KQ,이아이디보통주
1521,074610.KQ,이엔플러스보통주
1522,102460.KQ,이연제약보통주
1523,084680.KQ,이월드보통주
1524,350520.KQ,이지스레지던스리츠보통주
1525,334890.KQ,이지스밸류플러스리츠보통주
1526,000760.KQ,이화산업보통주
1527,014990.KQ,인디에프보통주
1528,101140.KQ,인바이오젠보통주
1529,006490.KQ,인스코비보통주
1530,023800.KQ,인지컨트롤스보통주
1531,034590.KQ,인천도시가스 보통주
1532,129260.KQ,인터지스보통주
1533,023810.KQ,인팩보통주
1534,249420.KQ,일동제약보통주
1535,000230.KQ,일동홀딩스보통주
1536,013360.KQ,일성건설보통주
1537,003120.KQ,일성신약보통주
1538,003200.KQ,일신방직보통주
1539,007110.KQ,일신석재보통주
1540,007575.KQ,일양약품1우선주
1541,007570.KQ,일양약품보통주
1542,008500.KQ,일정실업보통주
1543,081000.KQ,일진다이아몬드 보통주
1544,020760.KQ,일진디스플레이보통주
1545,020150.KQ,일진머티리얼즈보통주
1546,103590.KQ,일진전기 보통주
1547,015860.KQ,일진홀딩스보통주
1548,226320.KQ,잇츠한불보통주
1549,317400.KQ,자이에스앤디보통주
1550,033240.KQ,자화전자보통주
1551,000950.KQ,전방보통주
1552,348950.KQ,제이알글로벌리츠보통주
1553,194370.KQ,제이에스코퍼레이션보통주
1554,025620.KQ,제이준코스메틱보통주
1555,036420.KQ,제이콘텐트리보통주
1556,030000.KQ,제일기획보통주
1557,271980.KQ,제일약품보통주
1558,001560.KQ,제일연마공업보통주
1559,002620.KQ,제일파마홀딩스보통주
1560,006220.KQ,제주은행보통주
1561,089590.KQ,제주항공보통주
1562,004910.KQ,조광페인트보통주
1563,004700.KQ,조광피혁보통주
1564,001550.KQ,조비보통주
1565,000480.KQ,조선내화보통주
1566,120030.KQ,조선선재 보통주
1567,018470.KQ,조일알미늄보통주
1568,002600.KQ,조흥보통주
1569,063160.KQ,종근당바이오보통주
1570,185750.KQ,종근당보통주
1571,001630.KQ,종근당홀딩스보통주
1572,070960.KQ,주식회사 용평리조트
1573,023450.KQ,주식회사동남합성
1574,002380.KQ,주식회사케이씨씨
1575,044380.KQ,주연테크 보통주
1576,024110.KQ,중소기업은행보통주
1577,013890.KQ,지누스보통주
1578,001250.KQ,지에스글로벌보통주
1579,007070.KQ,지에스리테일보통주
1580,013870.KQ,지엠비코리아보통주
1581,071320.KQ,지역난방공사보통주
1582,010580.KQ,지코보통주
1583,035000.KQ,지투알보통주
1584,088790.KQ,진도 보통주
1585,003780.KQ,진양산업보통주
1586,010640.KQ,진양폴리우레탄보통주
1587,100250.KQ,진양홀딩스보통주
1588,051630.KQ,진양화학보통주
1589,272450.KQ,진에어보통주
1590,011000.KQ,진원생명과학보통주
1591,002785.KQ,진흥기업1우선주(신형)
1592,002787.KQ,진흥기업2우선주(신형)
1593,002780.KQ,진흥기업보통주
1594,009310.KQ,참엔지니어링보통주
1595,000650.KQ,천일고속보통주
1596,033250.KQ,체시스보통주
1597,035720.KQ,카카오보통주
1598,006380.KQ,카프로보통주
1599,109070.KQ,컨버즈보통주
1600,001620.KQ,케이비아이동국실업보통주
1601,009440.KQ,케이씨그린홀딩스보통주
1602,029460.KQ,케이씨보통주
1603,344820.KQ,케이씨씨글라스보통주
1604,119650.KQ,케이씨코트렐보통주
1605,281820.KQ,케이씨텍보통주
1606,044450.KQ,케이에스에스 해운 보통주
1607,092220.KQ,케이이씨 보통주
1608,145270.KQ,케이탑리츠보통주
1609,030200.KQ,케이티보통주
1610,030210.KQ,케이티비투자증권보통주
1611,053210.KQ,케이티스카이라이프
1612,058850.KQ,케이티씨에스보통주
1613,058860.KQ,케이티아이에스보통주
1614,033780.KQ,케이티앤지보통주
1615,357120.KQ,코람코에너지플러스리츠보통주
1616,007815.KQ,코리아써키트1우선주
1617,00781K.KQ,코리아써키트2우선주(신형)
1618,007810.KQ,코리아써키트보통주
1619,003690.KQ,코리안리재보험보통주
1620,192820.KQ,코스맥스보통주
1621,044820.KQ,코스맥스비티아이 주식회사 보통주
1622,005070.KQ,코스모신소재보통주
1623,005420.KQ,코스모화학보통주
1624,071950.KQ,코아스보통주
1625,002025.KQ,코오롱1우선주
1626,003075.KQ,코오롱글로벌1우선주
1627,003070.KQ,코오롱글로벌보통주
1628,144620.KQ,코오롱머티리얼보통주
1629,002020.KQ,코오롱보통주
1630,120115.KQ,코오롱인더스트리1우선주
1631,120110.KQ,코오롱인더스트리보통주
1632,138490.KQ,코오롱플라스틱보통주
1633,021240.KQ,코웨이보통주
1634,031820.KQ,콤텍시스템보통주
1635,192400.KQ,쿠쿠홀딩스보통주
1636,284740.KQ,쿠쿠홈시스보통주
1637,015590.KQ,큐로보통주
1638,26490K.KQ,크라운제과1우선주
1639,264900.KQ,크라운제과보통주
1640,005745.KQ,크라운해태홀딩스1우선주
1641,005740.KQ,크라운해태홀딩스보통주
1642,020120.KQ,키다리스튜디오보통주
1643,039490.KQ,키움증권보통주
1644,012170.KQ,키위미디어그룹보통주
1645,014580.KQ,태경비케이보통주
1646,015890.KQ,태경산업보통주
1647,006890.KQ,태경케미컬보통주
1648,003240.KQ,태광산업보통주
1649,011280.KQ,태림포장보통주
1650,004105.KQ,태양금속공업1우선주
1651,004100.KQ,태양금속공업보통주
1652,009410.KQ,태영건설보통주
1653,009415.KQ,태영건설우선주
1654,001420.KQ,태원물산보통주
1655,007980.KQ,태평양물산보통주
1656,055490.KQ,테이팩스보통주
1657,078000.KQ,텔코웨어 보통주
1658,214420.KQ,토니모리보통주
1659,019180.KQ,티에이치엔보통주
1660,36328K.KQ,티와이홀딩스1우선주
1661,363280.KQ,티와이홀딩스보통주
1662,091810.KQ,티웨이항공보통주
1663,004870.KQ,티웨이홀딩스보통주
1664,005690.KQ,파미셀보통주
1665,036580.KQ,팜스코보통주
1666,028670.KQ,팬오션보통주
1667,010820.KQ,퍼스텍보통주
1668,016800.KQ,퍼시스보통주
1669,001020.KQ,페이퍼코리아보통주
1670,090080.KQ,평화산업 주식회사 보통주
1671,010770.KQ,평화홀딩스보통주
1672,058430.KQ,포스코강판보통주
1673,005490.KQ,포스코보통주
1674,047050.KQ,포스코인터내셔널보통주
1675,003670.KQ,포스코케미칼보통주
1676,007630.KQ,폴루스바이오팜보통주
1677,017810.KQ,풀무원보통주
1678,103140.KQ,풍산 보통주
1679,005810.KQ,풍산홀딩스보통주
1680,950210.KQ,피비파마KDR
1681,033180.KQ,필룩스보통주
1682,086790.KQ,하나금융지주보통주
1683,293480.KQ,하나제약보통주
1684,039130.KQ,하나투어보통주
1685,172580.KQ,하이골드오션12호국제선박투자회사
1686,153360.KQ,하이골드오션3호선박투자회사
1687,071090.KQ,하이스틸 보통주
1688,019490.KQ,하이트론씨스템즈보통주
1689,000087.KQ,하이트진로2우선주(신형)
1690,000080.KQ,하이트진로보통주
1691,000145.KQ,하이트진로홀딩스1우선주
1692,000140.KQ,하이트진로홀딩스보통주
1693,036460.KQ,한국가스공사보통주
1694,005430.KQ,한국공항보통주
1695,010040.KQ,한국내화보통주
1696,025540.KQ,한국단자공업보통주
1697,096300.KQ,한국베트남부동산개발특별자산1호투자회사
1698,004090.KQ,한국석유공업보통주
1699,002200.KQ,한국수출포장공업보통주
1700,002960.KQ,한국쉘석유보통주
1701,000240.KQ,한국앤컴퍼니보통주
1702,033270.KQ,한국유나이티드제약 보통주
1703,123890.KQ,한국자산신탁보통주
1704,015760.KQ,한국전력공사보통주
1705,052690.KQ,한국전력기술 보통주
1706,006200.KQ,한국전자홀딩스보통주
1707,009540.KQ,한국조선해양보통주
1708,023350.KQ,한국종합기술보통주
1709,025890.KQ,한국주강보통주
1710,000970.KQ,한국주철관공업보통주
1711,104700.KQ,한국철강보통주
1712,017960.KQ,한국카본보통주
1713,161890.KQ,한국콜마보통주
1714,024720.KQ,한국콜마홀딩스보통주
1715,161390.KQ,한국타이어앤테크놀로지보통주
1716,034830.KQ,한국토지신탁보통주
1717,152550.KQ,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권)
1718,168490.KQ,한국투자Parallel유전해외자원개발특별자산투자회사1호
1719,071055.KQ,한국투자금융지주1우선주
1720,071050.KQ,한국투자금융지주보통주
1721,007280.KQ,한국특수형강보통주
1722,010100.KQ,한국프랜지공업보통주
1723,047810.KQ,한국항공우주산업보통주
1724,123690.KQ,한국화장품보통주
1725,003350.KQ,한국화장품제조보통주
1726,011500.KQ,한농화성보통주
1727,002390.KQ,한독보통주
1728,014790.KQ,한라보통주
1729,060980.KQ,한라홀딩스보통주
1730,053690.KQ,한미글로벌건축사사무소보통주
1731,042700.KQ,한미반도체보통주
1732,008930.KQ,한미사이언스보통주
1733,128940.KQ,한미약품보통주
1734,009240.KQ,한샘보통주
1735,020000.KQ,한섬보통주
1736,003680.KQ,한성기업보통주
1737,105630.KQ,한세실업보통주
1738,069640.KQ,한세엠케이보통주
1739,016450.KQ,한세예스24홀딩스보통주
1740,010420.KQ,한솔PNS보통주
1741,009180.KQ,한솔로지스틱스보통주
1742,213500.KQ,한솔제지보통주
1743,014680.KQ,한솔케미칼보통주
1744,004710.KQ,한솔테크닉스보통주
1745,004150.KQ,한솔홀딩스보통주
1746,025750.KQ,한솔홈데코보통주
1747,004960.KQ,한신공영보통주
1748,011700.KQ,한신기계공업보통주
1749,001755.KQ,한양증권1우선주
1750,001750.KQ,한양증권보통주
1751,018880.KQ,한온시스템보통주
1752,009420.KQ,한올바이오파마보통주
1753,014130.KQ,한익스프레스보통주
1754,300720.KQ,한일시멘트보통주
1755,002220.KQ,한일철강보통주
1756,006390.KQ,한일현대시멘트보통주
1757,003300.KQ,한일홀딩스보통주
1758,051600.KQ,한전KPS 보통주
1759,130660.KQ,한전산업개발보통주
1760,002320.KQ,한진보통주
1761,097230.KQ,한진중공업 보통주
1762,003480.KQ,한진중공업홀딩스보통주
1763,18064K.KQ,한진칼1우선주
1764,180640.KQ,한진칼보통주
1765,005110.KQ,한창보통주
1766,009460.KQ,한창제지보통주
1767,000885.KQ,한화1우선주
1768,00088K.KQ,한화3우선주(신형)
1769,000880.KQ,한화보통주
1770,088350.KQ,한화생명보험보통주
1771,000370.KQ,한화손해보험보통주
1772,009835.KQ,한화솔루션1우선주
1773,009830.KQ,한화솔루션보통주
1774,272210.KQ,한화시스템보통주
1775,012450.KQ,한화에어로스페이스보통주
1776,003535.KQ,한화투자증권1우선주
1777,003530.KQ,한화투자증권보통주
1778,195870.KQ,해성디에스보통주
1779,101530.KQ,해태제과식품주식회사
1780,143210.KQ,핸즈코퍼레이션보통주
1781,000725.KQ,현대건설1우선주
1782,267270.KQ,현대건설기계보통주
1783,000720.KQ,현대건설보통주
1784,005440.KQ,현대그린푸드보통주
1785,086280.KQ,현대글로비스보통주
1786,064350.KQ,현대로템보통주
1787,079430.KQ,현대리바트보통주
1788,012330.KQ,현대모비스보통주
1789,010620.KQ,현대미포조선보통주
1790,069960.KQ,현대백화점보통주
1791,004565.KQ,현대비앤지스틸1우선주
1792,004560.KQ,현대비앤지스틸보통주
1793,004310.KQ,현대약품보통주
1794,322000.KQ,현대에너지솔루션보통주
1795,017800.KQ,현대엘리베이터보통주
1796,307950.KQ,현대오토에버보통주
1797,011210.KQ,현대위아보통주
1798,267260.KQ,현대일렉트릭보통주
1799,005385.KQ,현대자동차1우선주
1800,005387.KQ,현대자동차2우선주(신형)
1801,005389.KQ,현대자동차3우선주(신형)
1802,005380.KQ,현대자동차보통주
1803,004020.KQ,현대제철 보통주
1804,011760.KQ,현대종합상사보통주
1805,267250.KQ,현대중공업지주보통주
1806,001500.KQ,현대차증권보통주
1807,227840.KQ,현대코퍼레이션홀딩스보통주
1808,126560.KQ,현대퓨처넷보통주
1809,001450.KQ,현대해상화재보험보통주
1810,057050.KQ,현대홈쇼핑보통주
1811,093240.KQ,형지엘리트보통주
1812,003010.KQ,혜인보통주
1813,111110.KQ,호전실업보통주
1814,008775.KQ,호텔신라1우선주
1815,008770.KQ,호텔신라보통주
1816,002460.KQ,화성산업보통주
1817,013520.KQ,화승알앤에이보통주
1818,241590.KQ,화승엔터프라이즈보통주
1819,006060.KQ,화승인더스트리보통주
1820,010690.KQ,화신보통주
1821,133820.KQ,화인베스틸보통주
1822,010660.KQ,화천기계보통주
1823,000850.KQ,화천기공보통주
1824,016580.KQ,환인제약보통주
1825,032560.KQ,황금에스티보통주
1826,004800.KQ,효성보통주
1827,094280.KQ,효성아이티엑스 보통주
1828,298040.KQ,효성중공업보통주
1829,298050.KQ,효성첨단소재보통주
1830,298020.KQ,효성티앤씨보통주
1831,298000.KQ,효성화학보통주
1832,093370.KQ,후성 보통주
1833,081660.KQ,휠라홀딩스보통주
1834,005870.KQ,휴니드테크놀러지스보통주
1835,079980.KQ,휴비스보통주
1836,005010.KQ,휴스틸보통주
1837,069260.KQ,휴켐스보통주
1838,000545.KQ,흥국화재해상보험1우선주
1839,000547.KQ,흥국화재해상보험2우선주(신형)
1840,000540.KQ,흥국화재해상보험보통주
1841,003280.KQ,흥아해운보통주
